helpfulness,review_id
1,1130688
4,1437136
3,769442
1,343871
3,98308
2,1400127
3,82007
4,973645
3,1652592
3,1040000
4,522479
5,1141317
2,771668
3,1809502
1,1809356
3,106804
4,1523108
3,1521547
3,1255325
4,122135
3,236371
2,1665291
4,1198706
3,1809297
3,1478851
2,1809368
3,1186279
4,243862
2,470240
3,1384313
3,1809371
2,1809549
2,1122313
1,1809318
4,293330
4,673258
4,890158
3,480713
1,1240410
3,1142423
2,97338
3,1582074
3,80508
2,1186702
3,1421819
2,1809436
3,79266
3,473794
1,1565880
2,1809348
4,1247156
3,848477
1,1568725
4,2007800
1,943847
3,1766844
1,1297944
5,897454
3,1809564
3,456312
4,774365
3,1636046
2,122020
3,1155309
4,179922
4,1417896
4,320995
3,364797
2,757193
3,1286738
4,1198360
3,370864
1,264921
3,700980
2,1809562
4,611305
3,38698
1,172803
3,1452324
2,1809427
3,1361887
1,133322
2,302382
3,133658
1,1523532
4,768435
1,1809414
2,372872
1,1809343
2,1140852
4,202150
2,1473802
1,1809299
3,556666
4,164083
3,1043465
3,1809332
3,1582429
4,591047
2,1113192
3,1809346
2,1809355
4,885943
3,777421
4,1183585
3,1416021
2,1086780
3,1508948
3,888044
2,908965
4,788230
1,1720538
1,1173429
3,613965
3,1025005
1,1809286
3,221411
3,1499690
2,1306756
4,1785775
3,1407889
2,43879
1,220456
4,294297
3,1759404
3,183696
2,1809559
3,837826
2,1809417
2,14015
3,1408011
2,972506
3,1326790
3,1502460
4,1609638
1,1676969
1,575411
5,952333
3,1809372
4,1809477
4,468276
2,1629991
3,1160246
3,1076638
4,1349745
5,446140
2,91617
3,1646723
4,1394753
4,842208
3,1809515
2,1601989
1,1809464
4,584171
3,2894
3,808131
3,1303326
3,1176329
3,992770
4,379802
4,36523
2,999430
3,1361442
2,886260
5,95215
1,1134302
4,381603
3,1809568
4,1809533
3,1466086
4,1220984
1,33573
4,145322
1,1809296
4,1579981
4,887534
3,781402
4,581090
2,347512
3,930381
2,6232
3,1250974
2,1481207
4,609149
3,668244
1,1809530
2,1188113
2,1685113
2,69480
2,712485
4,297667
3,758654
2,925102
4,1680318
3,1538715
1,736157
3,1215476
3,655746
1,1809400
3,1972144
