helpfulness,review_id
1,1130688
4,1437136
3,769442
1,343871
3,98308
1,1400127
2,82007
3,973645
1,1652592
3,1040000
4,522479
4,1141317
2,771668
3,1809502
1,1809356
3,106804
4,1523108
2,1521547
2,1255325
4,122135
2,236371
2,1665291
3,1198706
2,1809297
3,1478851
2,1809368
3,1186279
2,243862
2,470240
2,1384313
1,1809371
1,1809549
3,1122313
1,1809318
3,293330
2,673258
2,890158
3,480713
1,1240410
2,1142423
2,97338
1,1582074
3,80508
2,1186702
3,1421819
2,1809436
3,79266
1,473794
1,1565880
2,1809348
4,1247156
3,848477
1,1568725
5,2007800
1,943847
2,1766844
1,1297944
5,897454
4,1809564
2,456312
3,774365
4,1636046
1,122020
2,1155309
4,179922
3,1417896
2,320995
3,364797
1,757193
2,1286738
3,1198360
3,370864
3,264921
3,700980
2,1809562
3,611305
3,38698
1,172803
3,1452324
2,1809427
5,1361887
3,133322
3,302382
4,133658
4,1523532
5,768435
3,1809414
2,372872
3,1809343
1,1140852
4,202150
4,1473802
2,1809299
4,556666
4,164083
4,1043465
3,1809332
3,1582429
4,591047
2,1113192
2,1809346
2,1809355
3,885943
4,777421
2,1183585
3,1416021
2,1086780
2,1508948
3,888044
2,908965
4,788230
1,1720538
2,1173429
3,613965
3,1025005
2,1809286
3,221411
3,1499690
2,1306756
3,1785775
3,1407889
2,43879
2,220456
4,294297
3,1759404
3,183696
2,1809559
3,837826
1,1809417
3,14015
1,1408011
2,972506
3,1326790
3,1502460
3,1609638
2,1676969
2,575411
4,952333
2,1809372
4,1809477
2,468276
2,1629991
2,1160246
2,1076638
2,1349745
4,446140
1,91617
2,1646723
2,1394753
2,842208
3,1809515
2,1601989
2,1809464
5,584171
2,2894
3,808131
4,1303326
2,1176329
2,992770
4,379802
3,36523
3,999430
2,1361442
2,886260
4,95215
2,1134302
3,381603
3,1809568
3,1809533
3,1466086
3,1220984
2,33573
2,145322
2,1809296
4,1579981
2,887534
2,781402
2,581090
2,347512
3,930381
2,6232
2,1250974
2,1481207
3,609149
3,668244
2,1809530
2,1188113
2,1685113
2,69480
3,712485
4,297667
3,758654
3,925102
3,1680318
3,1538715
2,736157
2,1215476
2,655746
2,1809400
3,1972144
