helpfulness,review_id
2,2415252
4,1117804
4,3525171
3,3524683
4,3524286
4,2748945
3,261042
4,2402541
4,1537937
2,2665303
3,2309008
2,3526023
3,3524493
4,3525274
2,3524196
2,3290653
3,383543
2,3525556
4,3525235
3,338877
1,559086
1,288198
2,2835966
4,2418711
3,3523399
1,3523130
4,2214095
1,3525881
2,3525800
2,3522987
2,3523124
1,374010
4,2182324
3,3523618
1,3523865
1,2902997
3,4961857
3,2170148
5,2337737
1,3526272
3,2484568
2,941262
4,4491900
3,3522996
2,3525205
2,3524097
3,479793
2,2444850
3,399861
2,11593
3,1005604
4,600928
2,1895810
3,3523458
2,676375
2,3522892
2,973588
1,3143857
3,3523999
4,1309436
1,2703810
2,3523678
3,3323854
1,3524543
1,3207280
2,3525875
4,545091
1,3524421
4,432083
1,3525214
1,3523613
4,3475339
3,589388
4,3524387
3,649706
2,4643685
2,5828605
1,3525052
4,1572861
2,3523529
3,3144581
4,3524924
4,112643
2,1853186
4,2319273
4,1002906
2,3525617
3,3476693
5,2545683
5,3524321
2,3228205
1,3526790
4,2169186
2,3524504
5,3525328
5,3525051
4,1442520
3,3525942
2,1533423
5,1222901
2,291819
1,3524429
2,475610
4,3080
4,3084222
4,2987853
1,1415179
1,3523891
2,3524938
5,6996
3,3525547
2,5545828
3,3523747
2,3525648
4,1911203
3,3524816
4,2568147
3,227829
4,3523936
2,3523060
2,2902483
4,1182779
2,18801
3,3525643
3,3524840
1,3525084
1,3158490
3,3523042
1,3525613
2,3523038
1,1079652
1,3524891
4,2184786
2,2196459
5,5861175
1,3523548
1,3525258
4,492772
2,3524185
1,3700641
3,1510396
4,2165661
4,750662
3,900952
2,3526229
4,750100
3,4696435
4,1955597
2,4029533
2,2906103
1,28894
1,3525775
2,1544484
1,2843121
1,3523952
3,1115874
2,2955430
1,2079422
5,3526271
4,3188231
1,742562
1,3524328
1,3523567
2,3524517
4,3523538
3,3522939
1,3526376
5,1376669
5,3878508
2,3526491
1,3319390
3,567508
2,323702
1,3158561
1,3526269
4,1425090
3,77210
3,3432768
1,3107730
1,3525700
1,1710086
4,3526765
5,3526619
2,1487042
1,832508
3,151860
1,1024312
1,3525788
1,2028270
1,3524824
3,3524668
4,302190
4,2752051
5,1369161
3,3331916
4,3526712
4,802939
3,2626626
5,3468786
4,5665
