helpfulness,review_id,criteria_scores
2.0,2415252,
5.0,1117804,
3.0,3525171,
4.0,3524683,
5.0,3524286,
3.0,2748945,
3.0,261042,
3.0,2402541,
2.0,1537937,
4.0,2665303,
3.0,2309008,"{'Specificity and Detail': 2, 'Length and Conciseness': 3, 'Reviewer Credibility': 3, 'Balanced Perspective': 2, 'Constructive Sentiment': 3, 'Readability': 4, 'Comparative Insights': 3}"
4.0,3526023,"{'Specificity and Detail': 4, 'Length and Conciseness': 4, 'Reviewer Credibility': 3, 'Balanced Perspective': 4, 'Constructive Sentiment': 4, 'Readability': 4, 'Comparative Insights': 4}"
2.0,3524493,"{'Specificity and Detail': 1, 'Length and Conciseness': 2, 'Reviewer Credibility': 2, 'Balanced Perspective': 3, 'Constructive Sentiment': 2, 'Readability': 3, 'Comparative Insights': 1}"
4.0,3525274,"{'Specificity and Detail': 4, 'Length and Conciseness': 4, 'Reviewer Credibility': 3, 'Balanced Perspective': 3, 'Constructive Sentiment': 4, 'Readability': 4, 'Comparative Insights': 4}"
4.0,3524196,"{'Specificity and Detail': 4, 'Length and Conciseness': 4, 'Reviewer Credibility': 3, 'Balanced Perspective': 4, 'Constructive Sentiment': 4, 'Readability': 4, 'Comparative Insights': 4}"
4.0,3290653,"{'Specificity and Detail': 3, 'Length and Conciseness': 4, 'Reviewer Credibility': 3, 'Balanced Perspective': 4, 'Constructive Sentiment': 4, 'Readability': 4, 'Comparative Insights': 4}"
3.0,383543,"{'Specificity and Detail': 2, 'Length and Conciseness': 3, 'Reviewer Credibility': 3, 'Balanced Perspective': 2, 'Constructive Sentiment': 3, 'Readability': 4, 'Comparative Insights': 3}"
4.0,3525556,"{'Specificity and Detail': 4, 'Length and Conciseness': 4, 'Reviewer Credibility': 3, 'Balanced Perspective': 4, 'Constructive Sentiment': 4, 'Readability': 4, 'Comparative Insights': 3}"
4.0,3525235,"{'Specificity and Detail': 3, 'Length and Conciseness': 4, 'Reviewer Credibility': 3, 'Balanced Perspective': 3, 'Constructive Sentiment': 4, 'Readability': 4, 'Comparative Insights': 4}"
4.0,338877,"{'Specificity and Detail': 4, 'Length and Conciseness': 4, 'Reviewer Credibility': 3, 'Balanced Perspective': 4, 'Constructive Sentiment': 4, 'Readability': 4, 'Comparative Insights': 4}"
2.0,559086,
1.0,288198,
1.0,2835966,
1.5,2418711,
3.0,3523399,
2.5,3523130,
2.5,2214095,
3.0,3525881,
2.0,3525800,
2.0,3522987,
4.0,3523124,
1.0,374010,
2.0,2182324,
1.0,3523618,
4.0,3523865,
3.0,2902997,
4.0,4961857,
4.0,2170148,
1.0,2337737,
4.0,3526272,
4.0,2484568,
2.0,941262,
3.0,4491900,
3.0,3522996,
2.0,3525205,
3.0,3524097,
5.0,479793,
5.0,2444850,
4.0,399861,
3.0,11593,
2.0,1005604,
2.0,600928,
3.0,1895810,
3.0,3523458,
3.0,676375,
3.0,3522892,
3.0,973588,
4.0,3143857,
3.0,3523999,
2.0,1309436,
1.0,2703810,
3.0,3523678,
2.0,3323854,
2.0,3524543,
1.0,3207280,
4.0,3525875,
2.0,545091,
2.0,3524421,
5.0,432083,
2.0,3525214,
5.0,3523613,
2.0,3475339,
4.0,589388,
5.0,3524387,
1.0,649706,
3.0,4643685,
3.0,5828605,
3.0,3525052,
4.0,1572861,
3.0,3523529,
4.0,3144581,
3.0,3524924,
4.0,112643,
1.0,1853186,
5.0,2319273,
4.0,1002906,
3.0,3525617,
3.0,3476693,
3.0,2545683,
4.0,3524321,
2.0,3228205,
3.0,3526790,
1.0,2169186,
2.0,3524504,
3.0,3525328,
5.0,3525051,
4.0,1442520,
4.0,3525942,
1.0,1533423,
4.0,1222901,
4.0,291819,
2.0,3524429,
3.0,475610,
2.0,3080,
4.0,3084222,
3.0,2987853,
2.0,1415179,
2.0,3523891,
4.0,3524938,
1.0,6996,
1.0,3525547,
4.0,5545828,
4.0,3523747,
2.0,3525648,
4.0,1911203,
3.0,3524816,
3.0,2568147,
3.0,227829,
3.0,3523936,
3.0,3523060,
2.0,2902483,
3.0,1182779,
4.0,18801,
4.0,3525643,
1.0,3524840,
2.0,3525084,
5.0,3158490,
4.0,3523042,
1.0,3525613,
3.0,3523038,
2.0,1079652,
4.0,3524891,
1.0,2184786,
4.0,2196459,
1.0,5861175,
3.0,3523548,
1.0,3525258,
1.0,492772,
3.0,3524185,
2.0,3700641,
4.0,1510396,
2.0,2165661,
3.0,750662,
2.0,900952,
3.0,3526229,
5.0,750100,
3.0,4696435,
5.0,1955597,
3.0,4029533,
4.0,2906103,
3.0,28894,
1.0,3525775,
2.0,1544484,
1.0,2843121,
1.0,3523952,
4.0,1115874,
2.0,2955430,
2.0,2079422,
3.0,3526271,
3.0,3188231,
5.0,742562,
2.0,3524328,
1.0,3523567,
2.0,3524517,
2.0,3523538,
4.0,3522939,
1.0,3526376,
4.0,1376669,
1.0,3878508,
3.0,3526491,
4.0,3319390,
2.0,567508,
3.0,323702,
4.0,3158561,
4.0,3526269,
4.0,1425090,
3.0,77210,
2.0,3432768,
3.0,3107730,
4.0,3525700,
2.0,1710086,
3.0,3526765,
5.0,3526619,
2.0,1487042,
4.0,832508,
3.0,151860,
2.0,1024312,
4.0,3525788,
2.0,2028270,
2.0,3524824,
2.0,3524668,
3.0,302190,
2.0,2752051,
3.0,1369161,
1.0,3331916,
1.0,3526712,
4.0,802939,
4.0,2626626,
3.0,3468786,
4.0,5665,
