review_id,helpfulness
1130688,1
1437136,5
769442,3
343871,1
98308,2
1400127,2
82007,3
973645,4
1652592,4
1040000,3
522479,4
1141317,5
771668,2
1809502,3
1809356,1
106804,3
1523108,5
1521547,2
1255325,2
122135,4
236371,2
1665291,2
1198706,5
1809297,3
1478851,2
1809368,1
1186279,3
243862,2
470240,2
1384313,3
1809371,3
1809549,2
1122313,2
1809318,2
293330,5
673258,4
890158,3
480713,4
1240410,2
1142423,2
97338,2
1582074,2
80508,4
1186702,2
1421819,3
1809436,2
79266,4
473794,1
1565880,2
1809348,2
1247156,4
848477,4
1568725,1
2007800,4
943847,2
1766844,3
1297944,1
897454,3
1809564,2
456312,3
774365,2
1636046,4
122020,1
1155309,1
179922,3
1417896,4
320995,3
364797,2
757193,1
1286738,2
1198360,5
370864,4
264921,1
700980,3
1809562,2
611305,4
38698,2
172803,2
1452324,3
1809427,2
1361887,2
133322,1
302382,2
133658,3
1523532,2
768435,4
1809414,1
372872,2
1809343,1
1140852,1
202150,3
1473802,1
1809299,1
556666,4
164083,3
1043465,2
1809332,2
1582429,3
591047,3
1113192,2
1809346,1
1809355,2
885943,4
777421,3
1183585,2
1416021,3
1086780,2
1508948,2
888044,2
908965,1
788230,5
1720538,1
1173429,1
613965,3
1025005,3
1809286,1
221411,4
1499690,4
1306756,2
1785775,4
1407889,1
43879,2
220456,1
294297,4
1759404,4
183696,3
1809559,4
837826,4
1809417,2
14015,3
1408011,1
972506,1
1326790,3
1502460,3
1609638,4
1676969,1
575411,1
952333,4
1809372,3
1809477,3
468276,3
1629991,2
1160246,2
1076638,3
1349745,4
446140,5
91617,3
1646723,2
1394753,4
842208,4
1809515,3
1601989,2
1809464,2
584171,5
2894,2
808131,3
1303326,3
1176329,2
992770,2
379802,3
36523,3
999430,2
1361442,2
886260,2
95215,4
1134302,2
381603,2
1809568,3
1809533,2
1466086,3
1220984,3
33573,2
145322,3
1809296,2
1579981,3
887534,2
781402,2
581090,2
347512,2
930381,2
6232,2
1250974,3
1481207,2
609149,4
668244,4
1809530,2
1188113,2
1685113,2
69480,3
712485,2
297667,3
758654,3
925102,2
1680318,4
1538715,2
736157,1
1215476,2
655746,3
1809400,1
1972144,2
