helpfulness,review_id
3,2415252
5,1117804
3,3525171
3,3524683
4,3524286
4,2748945
3,261042
4,2402541
2,1537937
3,2665303
4,2309008
4,3526023
1,3524493
5,3525274
4,3524196
4,3290653
3,383543
3,3525556
3,3525235
3,338877
4,559086
2,288198
1,2835966
3,2418711
3,3523399
4,3523130
3,2214095
4,3525881
2,3525800
3,3522987
4,3523124
1,374010
3,2182324
2,3523618
4,3523865
3,2902997
4,4961857
5,2170148
1,2337737
4,3526272
4,2484568
2,941262
4,4491900
3,3522996
1,3525205
4,3524097
5,479793
4,2444850
3,399861
3,11593
2,1005604
3,600928
4,1895810
4,3523458
3,676375
3,3522892
3,973588
3,3143857
3,3523999
2,1309436
2,2703810
4,3523678
1,3323854
3,3524543
2,3207280
4,3525875
2,545091
2,3524421
5,432083
2,3525214
4,3523613
2,3475339
5,589388
4,3524387
1,649706
3,4643685
3,5828605
3,3525052
4,1572861
3,3523529
4,3144581
4,3524924
5,112643
2,1853186
5,2319273
5,1002906
4,3525617
3,3476693
4,2545683
4,3524321
3,3228205
4,3526790
2,2169186
3,3524504
4,3525328
5,3525051
4,1442520
3,3525942
2,1533423
4,1222901
4,291819
2,3524429
3,475610
1,3080
4,3084222
3,2987853
2,1415179
2,3523891
4,3524938
1,6996
1,3525547
4,5545828
4,3523747
3,3525648
4,1911203
3,3524816
3,2568147
3,227829
3,3523936
2,3523060
4,2902483
5,1182779
4,18801
4,3525643
2,3524840
3,3525084
5,3158490
4,3523042
3,3525613
3,3523038
3,1079652
4,3524891
1,2184786
4,2196459
1,5861175
2,3523548
1,3525258
1,492772
3,3524185
1,3700641
5,1510396
2,2165661
4,750662
3,900952
4,3526229
5,750100
2,4696435
5,1955597
3,4029533
4,2906103
4,28894
2,3525775
4,1544484
3,2843121
2,3523952
5,1115874
3,2955430
2,2079422
4,3526271
5,3188231
5,742562
2,3524328
3,3523567
3,3524517
1,3523538
4,3522939
2,3526376
4,1376669
1,3878508
3,3526491
4,3319390
2,567508
3,323702
4,3158561
3,3526269
4,1425090
3,77210
2,3432768
3,3107730
3,3525700
3,1710086
4,3526765
5,3526619
3,1487042
4,832508
3,151860
2,1024312
2,3525788
2,2028270
2,3524824
3,3524668
4,302190
2,2752051
5,1369161
2,3331916
3,3526712
4,802939
4,2626626
3,3468786
4,5665
