helpfulness,review_id,rating,title,text,helpfulness_score
4,1130688,5.0,PERFECT,Everything i hoped it would be!,
4,1437136,4.0,Very Good - But dinged up like a lot of other review,"Great little freezer but, like many other reviews, was dinged up slightly in a few spots.  Don't care how it looks as it is down in the basement, just how it works.  And it works great.  But the company does need to do a much better job at packaging and handling obviously with the inordinate number of reviews of dinged up freezers out there.",
4,769442,5.0,An easy access small freezer that holds the overflow from large ...,An easy access small freezer that holds the overflow from large fridge and keeps a steady zero degrees with little frosting.,
4,343871,5.0,Perfect,Like everything,
4,98308,5.0,Small freezer,Great extra freezer to stock up on any extra foods. Only had it less then 2 months but so far working great.,
4,1400127,1.0,I made a mistake in buying this and wanted to ...,I made a mistake in buying this and wanted to return it but it was past the 30 days window the merchant allows.  Bummer.,
4,82007,4.0,LOW to no NOISE...cant even heart it run..,Only had a week so far and keeps food - 4 to - 6 so far....seems to b working fine so far....will do updates'....SO FAR...,
4,973645,5.0,great freezer! fast shipping!,"given covid situation, freezers were sold out everywhere. I ordered another one and they never arrived. this one was delivered within two days. it's small but better than i expected and definitely solve our immediate needs for more freezer space. very happy with it.",
4,1652592,5.0,Educating Some Reviewers,"For the reviewer who suggested that ""date code 200709"" was 2007... No.  The format is YYMMDD, so the product that you reviewed in October of 2020 was manufactured July 9th of 2020, just four months prior to your purchase.<br \/><br \/>As for reviewer Lily who said, ""inside it's new, outside it's old"" with photos... remove the protective plastic film wrap, dear!  The whole purpose of that film wrap is to prevent scratches during transit.  Once your peel away all the wrap from the top and sides, the exterior will look polished and clean.",
4,1040000,5.0,Great space saver freezer,"Great freezer for limited space,door suction seals the deal!",
4,522479,,,,
4,1141317,,,,
3,771668,,,,
3,1809502,,,,
2,1809356,,,,
3,106804,,,,
4,1523108,,,,
3,1521547,,,,
3,1255325,,,,
4,122135,,,,
3,236371,,,,
2,1665291,,,,
4,1198706,,,,
2,1809297,,,,
2,1478851,,,,
1,1809368,,,,
2,1186279,,,,
2,243862,,,,
2,470240,,,,
3,1384313,,,,
3,1809371,,,,
2,1809549,,,,
2,1122313,,,,
1,1809318,,,,
4,293330,,,,
4,673258,,,,
4,890158,,,,
3,480713,,,,
1,1240410,,,,
3,1142423,,,,
3,97338,,,,
2,1582074,,,,
4,80508,,,,
2,1186702,,,,
4,1421819,,,,
3,1809436,,,,
3,79266,,,,
2,473794,,,,
1,1565880,,,,
2,1809348,,,,
4,1247156,,,,
3,848477,,,,
2,1568725,,,,
3,2007800,,,,
1,943847,,,,
2,1766844,,,,
1,1297944,,,,
4,897454,,,,
3,1809564,,,,
2,456312,,,,
4,1636046,,,"Purchased Feb. 2019 and died Sept. 2020. It was a great freezer and I like it’s compact size. Due to poor quality copper and bad assembly, a crack developed in a refrigerant line. One section of copper was bent like a straw which caused sharp creases. The high pressure finally decided to blow it apart. It can be repaired for about $50-75 in my area. It’s a great freezer but I wish it did not have this flaw and now needs repair.",3.0
1,122020,,,,
4,1155309,,,It is just what I needed! It works very well and for its size it holds a lot!,
5,179922,,,,
4,1417896,,,,
3,320995,,,,
3,364797,,,,
2,757193,,,,
3,1286738,,,,
4,1198360,,,,
3,370864,,,,
1,264921,,,,
3,700980,,,,
2,1809562,,,,
4,611305,,,,
3,38698,,,,
1,172803,,,,
3,1452324,,,,
2,1809427,,,,
4,1361887,,,,
2,133322,,,,
3,302382,,,,
4,133658,,,,
2,1523532,,,,
4,768435,,,,
1,1809414,,,,
3,372872,,,,
1,1809343,,,,
1,1140852,,,,
4,202150,,,,
2,1473802,,,,
1,1809299,,,,
3,556666,,,,
4,164083,,,,
3,1043465,,,,
2,1809332,,,,
3,1582429,,,,
3,591047,,,,
3,1113192,,,,
2,1809346,,,,
2,1809355,,,,
4,885943,,,,
3,777421,,,,
4,1183585,,,,
3,1416021,,,,
2,1086780,,,,
3,1508948,,,,
2,888044,,,,
1,908965,,,,
4,788230,,,,
1,1720538,,,,
1,1173429,,,,
3,613965,,,,
3,1025005,,,,
1,1809286,,,,
4,221411,,,,
3,1499690,,,,
3,1306756,,,,
3,1785775,,,,
2,1407889,,,,
2,43879,,,,
1,220456,,,,
4,294297,,,,
3,1759404,,,,
3,183696,,,,
3,1809559,,,,
4,837826,,,,
2,1809417,,,,
2,14015,,,,
3,1408011,,,,
2,972506,,,,
3,1326790,,,,
3,1502460,,,,
4,1609638,,,,
2,1676969,,,,
2,575411,,,,
5,952333,,,,
3,1809372,,,,
4,1809477,,,,
3,468276,,,,
2,1629991,,,,
