review_id,helpfulness
2415252,2.0
1117804,5.0
3525171,3.0
3524683,3.0
3524286,4.0
2748945,3.0
261042,3.0
2402541,3.0
1537937,2.0
2665303,3.0
2309008,4.0
3526023,3.0
3524493,1.0
3525274,3.0
3524196,3.0
3290653,3.0
383543,3.0
3525556,3.0
3525235,3.0
338877,3.0
559086,3.0
288198,1.0
2835966,1.0
2418711,2.0
3523399,4.0
3523130,3.0
2214095,3.0
3525881,4.0
3525800,2.0
3522987,3.0
3523124,4.0
374010,1.0
2182324,3.0
3523618,2.0
3523865,3.0
2902997,3.0
4961857,4.0
2170148,4.0
2337737,1.0
3526272,3.0
2484568,4.0
941262,2.0
4491900,3.0
3522996,2.0
3525205,1.0
3524097,3.0
479793,5.0
2444850,5.0
399861,4.0
11593,4.0
1005604,2.0
600928,3.0
1895810,3.0
3523458,3.0
676375,2.0
3522892,3.0
973588,2.0
3143857,3.0
3523999,4.0
1309436,3.0
2703810,2.0
3523678,4.0
3323854,1.0
3524543,3.0
3207280,1.0
3525875,4.0
545091,1.0
3524421,2.0
432083,5.0
3525214,2.0
3523613,4.0
3475339,2.0
589388,4.0
3524387,4.0
649706,2.0
4643685,3.0
5828605,3.0
3525052,3.0
1572861,3.0
3523529,3.0
3144581,2.86
3524924,2.71
112643,4.0
1853186,1.71
2319273,3.71
1002906,3.57
3525617,3.14
3476693,3.0
2545683,3.0
3524321,3.57
3228205,2.57
3526790,3.14
2169186,2.86
3524504,2.86
3525328,3.57
3525051,4.14
1442520,3.57
3525942,3.86
1533423,2.14
1222901,4.14
291819,4.0
3524429,2.0
475610,3.0
3080,2.0
3084222,4.0
2987853,3.0
1415179,2.0
3523891,3.0
3524938,4.0
6996,1.0
3525547,2.0
5545828,2.0
3523747,4.0
3525648,3.0
1911203,4.0
3524816,3.0
2568147,3.0
227829,3.0
3523936,4.0
3523060,3.0
2902483,2.57
1182779,2.71
18801,3.43
3525643,3.29
3524840,1.14
3525084,2.14
3158490,3.71
3523042,3.0
3525613,2.14
3523038,2.43
1079652,2.86
3524891,3.43
2184786,2.57
2196459,2.86
5861175,2.14
3523548,2.71
3525258,1.14
492772,1.86
3524185,2.71
3700641,1.57
1510396,4.0
2165661,2.0
750662,3.0
900952,2.0
3526229,3.0
750100,4.0
4696435,2.0
1955597,5.0
4029533,3.0
2906103,4.0
28894,4.0
3525775,3.0
1544484,4.0
2843121,2.0
3523952,2.0
1115874,4.0
2955430,2.0
2079422,2.0
3526271,3.0
3188231,4.0
742562,4.0
3524328,2.0
3523567,2.0
3524517,2.0
3523538,1.0
3522939,3.0
3526376,1.0
1376669,4.0
3878508,1.0
3526491,3.0
3319390,3.0
567508,1.0
323702,2.0
3158561,3.0
3526269,3.0
1425090,4.0
77210,3.0
3432768,2.0
3107730,2.0
3525700,2.0
1710086,2.6
3526765,4.0
3526619,4.6
1487042,2.8
832508,4.1
151860,3.3
1024312,2.8
3525788,3.0
2028270,2.0
3524824,1.6
3524668,2.6
302190,3.8
2752051,3.0
1369161,4.0
3331916,1.8
3526712,2.8
802939,4.0
2626626,3.6
3468786,3.5
5665,4.1
