helpfulness,review_id
2.0,2415252
4.0,1117804
2.0,3525171
3.0,3524683
4.0,3524286
3.0,2748945
2.0,261042
3.0,2402541
2.0,1537937
3.0,2665303
2.0,2309008
2.0,3526023
1.0,3524493
2.0,3525274
3.0,3524196
2.0,3290653
2.0,383543
2.0,3525556
2.0,3525235
2.0,338877
2.0,559086
1.0,288198
1.0,2835966
1.0,2418711
3.0,3523399
3.0,3523130
2.0,2214095
3.0,3525881
2.0,3525800
3.0,3522987
1.0,3523124
1.0,374010
3.0,2182324
1.0,3523618
3.0,3523865
2.0,2902997
4.0,4961857
4.0,2170148
1.0,2337737
2.0,3526272
4.0,2484568
2.0,941262
3.0,4491900
2.0,3522996
1.0,3525205
4.0,3524097
4.0,479793
3.0,2444850
3.0,399861
2.0,11593
2.0,1005604
2.0,600928
3.0,1895810
3.0,3523458
2.0,676375
1.0,3522892
2.0,973588
3.0,3143857
3.0,3523999
2.0,1309436
1.67,2703810
2.33,3523678
1.67,3323854
1.83,3524543
1.67,3207280
3.0,3525875
1.83,545091
1.67,3524421
4.33,432083
2.0,3525214
2.33,3523613
2.17,3475339
3.67,589388
3.83,3524387
2.33,649706
2.5,4643685
2.67,5828605
1.67,3525052
4.17,1572861
2.0,3523529
3.0,3144581
3.0,3524924
4.0,112643
2.14,1853186
3.42,2319273
3.57,1002906
3.14,3525617
2.85,3476693
2.42,2545683
3.0,3524321
2.42,3228205
3.42,3526790
2.28,2169186
3.0,3524504
3.28,3525328
4.0,3525051
4.28,1442520
3.0,3525942
2.14,1533423
4.14,1222901
4.0,291819
2.0,3524429
3.0,475610
1.0,3080
3.0,3084222
3.0,2987853
2.0,1415179
3.0,3523891
2.0,6996
2.0,3525547
3.0,5545828
4.0,3523747
3.0,3525648
4.0,1911203
3.0,3524816
4.0,2568147
3.0,227829
3.0,3523936
3.0,3523060
2.57,2902483
2.71,1182779
3.14,18801
3.43,3525643
1.43,3524840
2.0,3525084
3.43,3158490
2.71,3523042
2.0,3525613
2.86,3523038
2.29,1079652
3.0,3524891
1.71,2184786
2.14,2196459
1.57,5861175
2.29,3523548
1.29,3525258
1.86,492772
2.43,3524185
1.43,3700641
2.0,1510396
1.71,2165661
2.14,750662
2.0,900952
2.71,3526229
3.43,750100
1.57,4696435
3.71,1955597
3.57,4029533
2.71,2906103
2.14,28894
2.14,3525775
3.0,1544484
2.43,2843121
1.86,3523952
2.86,1115874
2.29,2955430
2.14,2079422
2.71,3526271
2.29,3188231
4.0,742562
2.33,3524328
2.17,3523567
2.83,3524517
2.0,3523538
3.83,3522939
2.5,3526376
4.5,1376669
2.0,3878508
2.33,3526491
2.33,3319390
2.17,567508
2.17,323702
2.33,3158561
3.0,3526269
3.83,1425090
2.83,77210
2.0,3432768
3.5,3107730
2.5,3525700
2.142857142857143,1710086
3.2857142857142856,3526765
4.285714285714286,3526619
2.4285714285714284,1487042
4.428571428571429,832508
3.0,151860
2.2857142857142856,1024312
2.857142857142857,3525788
2.0,2028270
1.4285714285714286,3524824
2.7142857142857144,3524668
3.5714285714285716,302190
2.142857142857143,2752051
3.7142857142857144,1369161
1.2857142857142858,3331916
2.857142857142857,3526712
2.857142857142857,802939
3.2857142857142856,2626626
2.5714285714285716,3468786
3.7142857142857144,5665
