helpfulness,review_id
1,1130688
4,1437136
3,769442
2,343871
3,98308
2,1400127
3,82007
4,973645
5,1652592
3,1040000
4,522479
5,1141317
2,771668
3,1809502
1,1809356
3,106804
4,1523108
2,1521547
5,122135
3,236371
2,1665291
5,1198706
3,1809297
2,1478851
2,1809368
3,1186279
2,243862
2,470240
3,1384313
4,1809371
2,1809549
3,1122313
2,1809318
5,293330
5,673258
5,890158
4,480713
2,1240410
4,1142423
3,97338
2,1582074
4,80508
2,1186702
4,1421819
3,1809436
3,79266
2,473794
2,1565880
3,1809348
5,1247156
4,848477
1,1568725
4,2007800
1,943847
3,1766844
1,1297944
5,897454
3,1809564
3,456312
2,774365
5,1636046
1,122020
3,1155309
4,179922
4,1417896
4,320995
3,364797
2,757193
3,1286738
4,1198360
3,370864
1,264921
2,700980
2,1809562
4,611305
3,38698
1,172803
3,1452324
2,1809427
4,1361887
1,133322
2,302382
3,133658
2,1523532
5,768435
1,1809414
2,372872
1,1809343
1,1140852
4,202150
2,1473802
1,1809299
3,556666
5,164083
3,1043465
2,1809332
4,1582429
5,591047
3,1113192
2,1809346
3,1809355
4,885943
3,777421
4,1183585
3,1416021
2,1086780
2,1508948
3,888044
3,908965
5,788230
1,1720538
1,1173429
3,613965
4,1025005
1,1809286
4,221411
3,1499690
3,1306756
4,1785775
2,1407889
3,43879
1,220456
5,294297
4,1759404
4,183696
3,1809559
3,837826
2,1809417
3,14015
2,1408011
1,972506
3,1326790
3,1502460
4,1609638
1,1676969
2,575411
4,952333
3,1809372
4,1809477
4,468276
2,1629991
2,1160246
3,1076638
3,1349745
5,446140
2,91617
3,1646723
3,1394753
4,842208
3,1809515
3,1601989
2,1809464
5,584171
2,2894
4,808131
3,1303326
2,1176329
3,992770
4,379802
4,36523
2,999430
1,1361442
1,886260
5,95215
1,1134302
4,381603
3,1809568
3,1809533
4,1466086
4,1220984
1,33573
4,145322
2,1809296
3,1579981
3,887534
2,781402
3,581090
2,347512
2,930381
2,6232
3,1250974
2,1481207
4,609149
4,668244
1,1809530
2,1188113
2,1685113
2,69480
2,712485
4,297667
3,758654
2,925102
5,1680318
3,1538715
1,736157
2,1215476
3,655746
1,1809400
4,1972144
