review_id,helpfulness
1130688,2
1437136,4
769442,4
343871,2
98308,3
1400127,2
82007,3
973645,3
1652592,4
1040000,4
522479,4
1141317,5
771668,2
1809502,3
1809356,2
106804,3
1523108,4
1521547,3
1255325,3
122135,4
236371,2
1665291,1
1198706,4
1809297,2
1478851,2
1809368,1
1186279,2
243862,1
470240,1
1384313,2
1809371,3
1809549,3
1122313,2
1809318,1
293330,4
673258,4
890158,4
480713,4
1240410,1
1142423,3
97338,3
1582074,2
80508,4
1186702,2
1421819,3
1809436,3
79266,3
473794,1
1565880,2
1809348,2
1247156,4
848477,3
1568725,2
2007800,4
943847,2
1766844,3
1297944,2
897454,3
1809564,3
456312,3
774365,4
1636046,4
122020,2
1155309,4
179922,4
1417896,4
320995,3
364797,3
757193,2
1286738,4
1198360,5
370864,3
264921,1
700980,3
1809562,3
611305,4
38698,3
172803,1
1452324,3
1809427,2
1361887,4
133322,1
302382,2
133658,3
1523532,2
768435,4
1809414,1
372872,3
1809343,1
1140852,1
202150,4
1473802,2
1809299,1
556666,3
164083,4
1043465,3
1809332,3
1582429,3
591047,3
1113192,2
1809346,3
1809355,2
885943,4
777421,3
1183585,3
1416021,3
1086780,2
1508948,2
888044,2
908965,2
788230,5
1720538,2
1173429,1
613965,4
1025005,3
1809286,1
221411,4
1499690,3
1306756,2
1785775,4
1407889,2
43879,2
220456,1
294297,3
1759404,3
183696,3
1809559,2
837826,4
1809417,2
14015,2
1408011,1
972506,2
1326790,3
1502460,3
1609638,4
1676969,1
575411,1
952333,4
1809372,3
1809477,4
468276,4
1629991,2
1160246,3
1076638,3
1349745,5
446140,5
91617,3
1646723,2
1394753,4
842208,4
1809515,3
1601989,3
1809464,2
584171,4
2894,2
808131,3
1303326,3
1176329,2
992770,2
379802,3
36523,4
999430,3
1361442,2
886260,2
95215,4
1134302,2
381603,4
1809568,3
1809533,3
1466086,3
1220984,4
33573,1
145322,3
1809296,2
1579981,4
887534,4
781402,3
581090,3
347512,2
930381,2
6232,1
1250974,2
1481207,1
609149,4
668244,4
1809530,1
1188113,2
1685113,4
69480,3
712485,3
297667,3
758654,3
925102,2
1680318,4
1538715,2
736157,1
1215476,2
655746,2
1809400,1
1972144,2
