helpfulness,review_id
3,2415252
4,1117804
3,3525171
3,3524683
3,3524286
4,2748945
3,261042
4,2402541
2,1537937
2,2665303
3,2309008
4,3526023
1,3524493
4,3525274
4,3524196
3,3290653
3,383543
3,3525556
3,3525235
3,338877
4,559086
1,288198
1,2835966
2,2418711
3,3523399
3,3523130
3,2214095
4,3525881
2,3525800
3,3522987
4,3523124
1,374010
3,2182324
1,3523618
4,3523865
3,2902997
4,4961857
4,2170148
1,2337737
4,3526272
4,2484568
2,941262
3,4491900
2,3522996
2,3525205
3,3524097
4,479793
3,2444850
3,399861
3,11593
3,1005604
3,600928
4,1895810
4,3523458
3,676375
3,3522892
2,973588
4,3143857
3,3523999
3,1309436
3,2703810
4,3523678
1,3323854
4,3524543
2,3207280
4,3525875
2,545091
3,3524421
5,432083
3,3525214
4,3523613
3,3475339
5,589388
5,3524387
2,649706
2,4643685
3,5828605
4,3525052
5,1572861
3,3523529
4,3144581
3,3524924
4,112643
2,1853186
5,2319273
5,1002906
4,3525617
3,3476693
4,2545683
5,3524321
3,3228205
4,3526790
2,2169186
3,3524504
3,3525328
5,3525051
5,1442520
4,3525942
3,1533423
4,1222901
3,291819
2,3524429
2,475610
2,3080
4,3084222
3,2987853
2,1415179
3,3523891
3,3524938
1,6996
2,3525547
4,5545828
3,3523747
2,3525648
4,1911203
2,3524816
3,2568147
2,227829
3,3523936
3,3523060
3,2902483
4,1182779
3,18801
4,3525643
1,3524840
2,3525084
4,3158490
4,3523042
1,3525613
3,3523038
4,1079652
5,3524891
1,2184786
4,2196459
1,5861175
3,3523548
1,3525258
2,492772
3,3524185
1,3700641
4,1510396
3,2165661
4,750662
3,900952
4,3526229
5,750100
2,4696435
4,1955597
3,4029533
4,2906103
4,28894
2,3525775
3,1544484
3,2843121
2,3523952
4,1115874
3,2955430
2,2079422
4,3526271
4,3188231
4,742562
2,3524328
3,3523567
2,3524517
1,3523538
3,3522939
2,3526376
4,1376669
1,3878508
2,3526491
4,3319390
2,567508
3,323702
3,3158561
4,3526269
3,1425090
2,77210
3,3432768
3,3107730
3,3525700
3,1710086
4,3526765
4,3526619
2,1487042
3,832508
3,151860
2,1024312
3,3525788
2,2028270
2,3524824
4,3524668
4,302190
3,2752051
5,1369161
1,3331916
2,3526712
4,802939
4,2626626
3,3468786
4,5665
