helpfulness,review_id
3,2415252
5,1117804
3,3525171
3,3524683
5,3524286
4,2748945
3,261042
3,2402541
2,1537937
3,2665303
3,2309008
3,3526023
1,3524493
3,3525274
3,3524196
3,3290653
2,383543
2,3525556
3,3525235
3,338877
2,559086
1,288198
1,2835966
3,2418711
3,3523399
3,3523130
2,2214095
3,3525881
2,3525800
2,3522987
4,3523124
1,374010
2,2182324
1,3523618
3,3523865
3,2902997
3,4961857
4,2170148
1,2337737
3,3526272
4,2484568
2,941262
3,4491900
2,3522996
1,3525205
3,3524097
4,479793
4,2444850
4,399861
2,11593
3,1005604
2,600928
3,1895810
3,3523458
2,676375
3,3522892
3,973588
4,3143857
3,3523999
3,1309436
2,2703810
3,3523678
1,3323854
2,3524543
2,3207280
3,3525875
1,545091
2,3524421
5,432083
3,3525214
3,3523613
2,3475339
4,589388
5,3524387
1,649706
2,4643685
2,5828605
3,3525052
3,1572861
2,3523529
3,3144581
2,3524924
4,112643
1,1853186
4,2319273
3,1002906
4,3525617
3,3476693
3,2545683
3,3524321
2,3228205
3,3526790
1,2169186
2,3524504
4,3525328
4,3525051
4,1442520
3,3525942
2,1533423
4,1222901
4,291819
2,3524429
3,475610
1,3080
3,3084222
3,2987853
2,1415179
2,3523891
3,3524938
1,6996
2,3525547
4,5545828
3,3523747
2,3525648
4,1911203
3,3524816
3,2568147
2,227829
3,3523936
3,3523060
2,2902483
3,1182779
3,18801
3,3525643
1,3524840
2,3525084
4,3158490
3,3523042
2,3525613
3,3523038
3,1079652
3,3524891
1,2184786
4,2196459
1,5861175
4,3523548
1,3525258
2,492772
3,3524185
3,3700641
3,1510396
2,2165661
3,750662
2,900952
2,3526229
4,750100
2,4696435
3,1955597
3,4029533
3,2906103
4,28894
2,3525775
3,1544484
4,2843121
2,3523952
5,1115874
3,2955430
2,2079422
4,3526271
3,3188231
2,3526491
4,3319390
2,567508
3,323702
3,3158561
4,3526269
3,1425090
2,77210
2,3432768
3,3107730
3,3525700
2,1710086
4,3526765
4,3526619
3,1487042
4,832508
3,151860
3,1024312
2,3525788
2,2028270
2,3524824
3,3524668
4,302190
2,2752051
5,1369161
1,3331916
2,3526712
4,802939
4,2626626
4,3468786
4,5665
