review_id,helpfulness
2415252,3
1117804,5
3525171,2
3524683,4
3524286,5
2748945,3
261042,2
2402541,3
1537937,1
2665303,4
2309008,4
3526023,5
3524493,1
3525274,4
3524196,4
3290653,4
383543,3
3525556,3
3525235,4
338877,4
559086,4
288198,1
2835966,1
2418711,2
3523399,4
3523130,4
2214095,3
3525881,5
3525800,2
3522987,3
3523124,5
374010,1
2182324,3
3523618,2
3523865,4
2902997,4
4961857,5
2170148,5
2337737,1
3526272,4
2484568,5
941262,2
4491900,4
3522996,3
3525205,1
3524097,4
479793,5
2444850,5
399861,4
11593,4
1005604,2
600928,3
1895810,4
3523458,5
676375,3
3522892,4
973588,3
3143857,5
3523999,4
1309436,2
2703810,2
3523678,4
3323854,1
3524543,3
3207280,2
3525875,5
545091,1
3524421,2
432083,5
3525214,3
3523613,5
3475339,2
589388,4
3524387,4
649706,1
4643685,3
5828605,3
3525052,4
1572861,4
3523529,3
3144581,4
3524924,3
112643,4
1853186,2
2319273,5
1002906,4
3525617,4
3476693,4
2545683,3
3524321,3
3228205,2
3526790,4
2169186,1
3524504,2
3525328,3
3525051,5
1442520,4
3525942,4
1533423,1
1222901,5
291819,5
3524429,2
475610,4
3080,1
3084222,4
2987853,4
1415179,3
3523891,2
3524938,5
6996,1
3525547,2
5545828,4
3523747,5
3525648,3
1911203,4
3524816,3
2568147,4
227829,3
3523936,3
3523060,3
2902483,3
1182779,4
18801,5
3525643,4
3524840,1
3525084,2
3158490,5
3523042,4
3525613,1
3523038,4
1079652,3
3524891,5
2184786,1
2196459,5
5861175,2
3523548,4
3525258,1
492772,2
3524185,4
3700641,2
1510396,5
2165661,2
750662,4
900952,3
3526229,4
750100,5
4696435,3
1955597,5
4029533,4
2906103,5
28894,5
3525775,3
1544484,4
2843121,4
3523952,2
1115874,5
2955430,3
2079422,3
3526271,4
3188231,4
742562,5
3524328,2
3523567,2
3524517,2
3523538,1
3522939,4
3526376,2
1376669,5
3878508,1
3526491,3
3319390,5
567508,2
323702,3
3158561,4
3526269,5
1425090,4
77210,3
3432768,2
3107730,4
3525700,3
1710086,3
3526765,4
3526619,5
1487042,2
832508,5
151860,4
1024312,3
3525788,4
2028270,2
3524824,2
3524668,4
302190,3
2752051,2
1369161,5
3331916,1
3526712,2
802939,5
2626626,4
3468786,3
5665,4
